PB_IDX,LI_IDX,EX_IDX,PB_NUM,PB_QUES,PB_DETAIL,PB_CHOI1,PB_CHOI2,PB_CHOI3,PB_CHOI4,PB_ANS,PB_SOLU,PB_CR,TOPIC_IDX
11,1,1,11,XP(eXtreme Programming)의 5가지 가치로 거리가 먼 것은?,,용기,의사소통,정형분석,피드백,3,"XP(eXtreme Programming)는 소프트웨어 개발 방법론 중 하나로, 빠르게 변화하는 요구사항에 유연하게 대처하고 고품질의 소프트웨어를 개발하기 위해 고안되었습니다.  XP의 핵심 가치는  개발 과정 전반에 걸쳐  '소통', '단순성', '피드백', '용기', '존중'을 강조합니다.  '소통'은 개발팀 내부 및 고객과의 원활한 의사소통을 통해 요구사항의 오류를 최소화하고,  '단순성'은 복잡한 기능을 최대한 간소화하여 개발 과정을 효율적으로 관리하며, '피드백'은 지속적인 테스트와 고객의 의견을 통해 개발 방향을 수정하고 개선하는 데 중요한 역할을 합니다. '용기'는 변화를 수용하고 과감한 결정을 내리는 것을 의미하며, '존중'은 팀원 상호간의 존중을 통해 협력적인 분위기를 조성합니다.  문제에서 제시된 선지 중 '정형분석'은 XP의 가치와는 거리가 멉니다. XP는  경직된 계획과 분석보다는 유연하고 반복적인 개발 과정을 중시하기 때문입니다.  정형분석은  체계적이고 엄격한 분석 방법론으로, XP의 유연성과 민첩성과는 상반되는 개념입니다. 따라서 XP의 5가지 가치 중 '정형분석'은 포함되지 않습니다.",81,2
12,1,1,12,UML 모델에서 사용하는 Structural Diagram 에 속하지 않은 것은?,,Class Diagram,Object Diagram,Component Diagram,Activity Diagram,4,"이 문제는 UML(Unified Modeling Language) 다이어그램 중에서 구조적인 측면을 보여주는 다이어그램들을 묻고 있습니다.  UML 다이어그램은 크게 구조 다이어그램(Structural Diagram)과 행위 다이어그램(Behavioral Diagram)으로 나뉘는데, 구조 다이어그램은 시스템의 정적인 구조, 즉 시스템을 구성하는 요소들과 그 요소들 간의 관계를 표현합니다.  클래스 다이어그램은 시스템의 클래스들과 그 관계를 나타내고, 객체 다이어그램은 특정 시점의 객체들과 그 관계를 보여주며, 컴포넌트 다이어그램은 시스템의 구성 요소들을 표현합니다. 반면에,  정답으로 제시된 다이어그램은 시스템의 동적인 행위, 즉 시스템의 동작 흐름을 나타내는 행위 다이어그램에 속합니다.  따라서 시스템의 구조를 나타내는 다이어그램이 아닌 것입니다.  쉽게 말해,  건물의 설계도(구조 다이어그램)와 건물에서 사람들이 어떻게 이동하는지 보여주는 안내도(행위 다이어그램)의 차이라고 생각하면 이해하기 쉽습니다.  건물의 설계도는 건물의 구조를 보여주지만, 안내도는 사람들의 행위를 보여주는 것처럼 말이죠.  문제에서 묻는 것은 건물의 설계도(구조)에 해당하는 다이어그램이므로,  시스템의 동작 흐름을 보여주는 다이어그램은 정답이 될 수 없습니다.",76,2
13,1,1,13,소프트웨어 개발 방법 중 요구사항 분석(requirements annalysis)과 거리가 먼 것은?,,비용과 일정에 대한 제약설정,타당성 조사,요구사항 정의 문서화,설계 명세서 작성,4,"소프트웨어 개발은 크게 요구사항 분석, 설계, 구현, 테스트 등의 단계를 거칩니다.  요구사항 분석 단계에서는 사용자의 요구를 정확하게 파악하고 문서화하는 작업이 이루어집니다.  비용과 일정 설정, 타당성 조사는 프로젝트의 전반적인 계획을 세우는 단계에서 중요한 요소이며, 요구사항 분석에 앞서 수행되거나 병행될 수 있습니다.  요구사항 정의 문서화는 사용자의 요구를 명확하게 기록하고 개발팀과 공유하기 위한 필수적인 과정입니다.  반면, 설계 명세서 작성은 요구사항 분석이 완료된 후,  실제 시스템을 구현하기 위한 구체적인 설계를 기술하는 단계입니다. 따라서 요구사항 분석과는 구분되는 별개의 단계라고 할 수 있습니다.  요구사항 분석은 사용자의 니즈를 파악하는 단계이고, 설계는 그 니즈를 어떻게 구현할지 구체적으로 계획하는 단계이기 때문에 서로 다른 단계입니다.  문제에서 묻고 있는 것은 요구사항 분석과 거리가 먼 것이므로,  요구사항 분석 이후에 수행되는 설계 단계에 해당하는 선지가 정답이 됩니다.",65,6
14,1,1,14,럼바우(Rumbaugh)의 객체지향 분석 절차를 가장 바르게 나열한 것은?,,객체 모형→동적 모형→기능 모형,객체 모형→기능 모형→동적 모형,기능 모형→동적 모형→객체 모형,기능 모형→객체 모형→동적 모형,1,"럼바우의 객체지향 분석 절차는 시스템을 객체, 동작, 기능의 세 가지 관점에서 모델링하는 방법입니다.  먼저 시스템을 구성하는 객체들을 식별하고 그들의 속성과 관계를 정의하는 **객체 모형**을 만듭니다.  이후 객체들 간의 상호작용과 시스템의 동적인 흐름을 나타내는 **동적 모형**을 생성합니다. 마지막으로 시스템이 제공하는 기능들을 정의하는 **기능 모형**을 만듭니다.  따라서 객체를 먼저 파악하고, 그 객체들의 상호작용을 분석한 후, 마지막으로 기능을 정의하는 순서가 가장 논리적입니다.  객체가 없으면 동작이나 기능을 정의할 수 없고, 객체의 상호작용을 이해해야만 시스템의 기능을 정확하게 파악할 수 있기 때문입니다.  따라서 객체 모형을 먼저 만들고, 그 다음 동적 모형, 마지막으로 기능 모형을 만드는 순서가 럼바우의 객체지향 분석 절차를 가장 잘 반영합니다.  이는 객체지향 분석의 기본 원칙에 부합하며, 시스템을 체계적이고 효율적으로 분석하는 데 도움을 줍니다.",86,7
15,1,1,15,공통 모듈에 대한 명세 기법 중 해당 기능에 대해 일관되게 이해하고 한 가지로 해석될 수 있도록 작성하는 원칙은?,,상호작용성,명확성,독립성,내용성,2,"공통 모듈이란 여러 프로그램에서 공통적으로 사용되는 기능을 모아놓은 부분입니다.  이러한 공통 모듈은 여러 곳에서 사용되기 때문에, 기능에 대한 이해가 서로 달라 모호하게 해석될 여지가 없도록 명확하게 작성되어야 합니다.  만약 명세가 모호하다면, 각 프로그램에서 공통 모듈을 다르게 해석하고 사용하게 되어 프로그램 간의 호환성 문제나 오류가 발생할 수 있습니다.  따라서 공통 모듈의 명세는 누가 보더라도 동일하게 이해하고 해석할 수 있도록, 즉 명확하게 작성하는 것이 매우 중요합니다.  다른 선택지들은 중요한 요소이지만, 공통 모듈의 명세에서 가장 기본적이고 필수적인 원칙은 명확성입니다.  상호작용성은 모듈 간의 관계를, 독립성은 모듈 자체의 독립적인 기능을, 내용성은 모듈이 포함하는 기능의 충실성을 의미하지만,  모듈을 여러 곳에서 일관되게 사용하기 위해서는 무엇보다 명확한 명세가 우선되어야 합니다.",86,6
16,1,1,16,객체지향 기법에서 클래스들 사이의 ‘부분-전체(part-whole)' 관계 또는 ’부분(is-a-part-of)'의 관계로 설명되는 연관성을 나타내는 용어는?,,일반화,추상화,캡슐화,집단화,4,"객체지향 기법에서 클래스는 객체의 설계도와 같습니다.  여러 개의 클래스가 모여서 하나의 시스템을 구성하는데, 이때 클래스들 간의 관계를 나타내는 여러 용어가 있습니다.  문제에서 묻는 것은 '부분-전체' 관계, 즉 하나의 큰 객체가 여러 작은 객체들로 구성되는 관계를 표현하는 용어입니다.  예를 들어, 자동차라는 큰 객체는 엔진, 바퀴, 시트 등 여러 작은 부품 객체들로 이루어져 있습니다. 이러한 '부분-전체' 관계를 객체지향 기법에서는 '집단화'라고 표현합니다.  '집단화'는 전체를 구성하는 부분들을 하나로 묶어서 관리하는 개념입니다.  다른 선택지들은 클래스 간의 다른 종류의 관계를 나타내는 용어들입니다. '일반화'는 상속 관계를, '추상화'는 복잡한 내용을 단순화하여 표현하는 것을, '캡슐화'는 데이터와 함수를 하나로 묶어서 외부로부터 보호하는 것을 의미합니다. 따라서 자동차와 그 부품들의 관계를 가장 잘 설명하는 용어는 '집단화'입니다.",63,7
17,1,1,17,CASE가 갖고 있는 주요 기능이 아닌 것은?,,그래픽 지원,소프트웨어 생명주기 전 단계의 연결,언어번역,다양한 소프트웨어 개발 모형 지원,3,"CASE(Computer-Aided Software Engineering)는 소프트웨어 개발 과정을 지원하는 도구들의 총칭입니다.  소프트웨어 개발의 여러 단계, 예를 들어 요구사항 분석, 설계, 구현, 테스트 등을 자동화하거나 지원하는 기능을 제공하여 개발 생산성을 높이고, 개발 과정의 오류를 줄이는 데 도움을 줍니다.  그래픽 지원을 통해 시각적으로 소프트웨어 구조를 표현하고, 소프트웨어 생명주기 전 단계를 연결하여 개발 과정의 흐름을 원활하게 만들며, 다양한 소프트웨어 개발 방법론(예: 폭포수 모델, 애자일)을 지원하는 기능을 제공합니다. 하지만 CASE는 소프트웨어 개발 과정을 지원하는 도구이지, 언어 자체를 번역하는 기능은 제공하지 않습니다.  언어 번역은 별도의 번역 도구나 시스템을 필요로 합니다. 따라서 CASE의 주요 기능이 아닌 것은 언어 번역입니다.",84,47
18,1,1,18,DBMS 분석시 고려사항으로 거리가 먼 것은?,,가용성,성능,네트워크 구성도,상호 호환성,3,"DBMS(데이터베이스 관리 시스템)를 분석할 때는 여러 가지 중요한 요소들을 고려해야 합니다.  데이터베이스의 안정적인 운영을 위해 얼마나 자주 문제없이 사용할 수 있는지 나타내는 '가용성', 데이터베이스의 처리 속도와 효율성을 의미하는 '성능', 그리고 서로 다른 시스템 간에 데이터를 주고받을 수 있는 '상호 호환성'은 모두 DBMS 분석에 필수적인 고려사항입니다. 하지만 '네트워크 구성도'는 DBMS 자체의 특성이나 성능, 안정성을 직접적으로 평가하는 요소는 아닙니다. 네트워크 구성은 DBMS가 동작하는 환경에 영향을 미칠 수 있지만, DBMS 분석의 핵심적인 고려사항이라고 보기는 어렵습니다.  DBMS 분석은 데이터베이스 시스템 자체의 기능과 성능에 초점을 맞추어야 하며, 네트워크 구성은 DBMS를 사용하는 응용 프로그램이나 시스템의 설계 단계에서 고려해야 할 사항입니다. 따라서 DBMS 분석 시 고려사항으로 적절하지 않은 것은 네트워크 구성도입니다.  쉽게 말해,  DBMS가 얼마나 잘 작동하는지, 빠른지, 다른 시스템과 잘 연결되는지를 보는 것이 DBMS 분석인데, 네트워크가 어떻게 생겼는지는 DBMS 자체의 성능과는 직접적인 관련이 없기 때문입니다.",83,1
19,1,1,19,HIPO(Hierarchy Input Process Output)에 대한 설명으로 거리가 먼 것은?,,상향식 소프트웨어 개발을 위한 문서화 도구이다.,"HIPO 차트 종류에는 가시적 도표, 총체적 도표, 세부적 도표가 있다.",기능과 자료의 의존 관계를 동시에 표현할 수 있다.,보기 쉽고 이해하기 쉽다.,1,"HIPO는 계층적 입력-처리-출력(Hierarchy Input Process Output)의 약자로, 시스템의 기능을 계층적으로 표현하는 문서화 도구입니다.  상향식 개발 방식을 지원하며, 시스템의 전체적인 흐름부터 세부적인 기능까지 단계적으로 표현하여 이해도를 높입니다.  HIPO 차트는 시스템의 기능을 시각적으로 보여주는 가시적 도표, 전체 시스템의 기능을 개괄적으로 보여주는 총체적 도표, 그리고 각 기능의 세부적인 처리 과정을 보여주는 세부적 도표로 구성됩니다.  이를 통해 기능과 자료의 의존 관계를 명확하게 파악할 수 있도록 도와주며, 결과적으로 시스템을 쉽게 이해하고 관리할 수 있도록 합니다.  문제에서 틀린 선지는 HIPO의 특징과 부합하지 않는 내용입니다.  HIPO는 시스템의 기능을 명확하고 체계적으로 표현하여 이해도를 높이는 데 초점을 맞추기 때문에, 보기 쉽고 이해하기 쉽다는 것은 HIPO의 장점이지 거리가 먼 설명이 아닙니다.  따라서 문제에서 제시된 네 가지 설명 중 하나는 HIPO의 특징과 일치하지 않습니다.",78,2
20,1,1,20,"객체지향 분석 방법론 중 E-R 다이어그램을 사용하여 객체의 행위를 모델링하며, 객체식별, 구조 식별, 주체 정의, 속성 및 관계 정의, 서비스 정의 등의 과정으로 구성되는 것은?",,Coad와 Yourdon 방법,Booch 방법,Jacobson 방법,Wirfs-Brocks 방법,1,"이 문제는 객체지향 분석 방법론 중 E-R 다이어그램을 사용하는 방법을 묻고 있습니다.  객체지향 분석은 현실 세계의 문제를 객체라는 개념으로 모델링하여 소프트웨어를 개발하는 방법론입니다.  여러 객체지향 분석 방법론 중에서 E-R 다이어그램을 사용하여 객체의 행위를 모델링하는 방법은 특정 방법론의 특징입니다. E-R 다이어그램은 데이터베이스 설계에 주로 사용되는 도구로,  엔티티(Entity, 객체)와 관계(Relationship)를 표현하여 데이터 구조를 시각적으로 보여줍니다. 문제에서 언급된 '객체 식별, 구조 식별, 주체 정의, 속성 및 관계 정의, 서비스 정의' 등의 과정은  E-R 다이어그램을 이용하여 객체와 객체 간의 관계를 정의하고, 객체가 수행하는 기능(서비스)을 명세하는 과정을 나타냅니다.  정답으로 제시된 방법론은 이러한 과정을 모두 포함하고 있으며, E-R 다이어그램을 활용하여 객체의 행위를 모델링하는 특징을 가지고 있습니다. 다른 방법론들은 객체의 행위 모델링에 다른 접근 방식을 사용할 수 있습니다. 따라서 E-R 다이어그램을 사용하여 객체의 행위를 모델링하는 특징을 가진 방법론을 선택하는 것이 정답입니다.",79,7
21,1,1,21,정렬된 N개의 데이터를 처리하는데 O(Nlog2N)의 시간이 소요되는 정렬 알고리즘은?,,선택정렬,삽입정렬,버블정렬,합병정렬,4,"정렬된 N개의 데이터를 처리하는 데 걸리는 시간을 나타내는 표기법 O(Nlog₂N)은 알고리즘의 시간 복잡도를 나타냅니다.  시간 복잡도는 데이터의 양(N)이 증가함에 따라 알고리즘의 실행 시간이 어떻게 증가하는지를 나타내는 척도입니다.  O(Nlog₂N)은 데이터의 양이 증가할수록 실행 시간이 비교적 효율적으로 증가함을 의미합니다.  선택 정렬, 삽입 정렬, 버블 정렬은 모두 단순한 정렬 알고리즘으로, 최악의 경우 O(N²)의 시간 복잡도를 가지므로 데이터의 양이 많아지면 실행 시간이 매우 길어집니다. 반면에 합병 정렬은 데이터를 반으로 계속 나누어 정렬한 후 합치는 분할 정복(Divide and Conquer) 방식을 사용하는데, 이 방식은 O(Nlog₂N)의 시간 복잡도를 가지므로 데이터 양이 많아져도 상대적으로 효율적인 정렬이 가능합니다. 따라서 정렬된 N개의 데이터를 처리하는 데 O(Nlog₂N)의 시간이 소요되는 정렬 알고리즘은 합병 정렬입니다.  쉽게 말해,  데이터가 많아질수록 합병 정렬은 다른 정렬 방법들보다 훨씬 빠르게 정렬을 완료할 수 있다는 뜻입니다.",69,11
22,1,1,22,White Box Testing 에 대한 설명으로 옳지 않은 것은?,,"Base Path Testing, Boundary Value Analysis가 대표적인 기법이다.",Source Code 의 모든 문장을 한번 이상 수행함으로서 진행된다.,모듈 안의 작동을 직접 관찰 할 수 있다.,"산출물의 각 기능별로 적절한 프로그램의 제어구조에 따라 선택, 반복 등의 부분들을 수행함으로써 논리적 경로를 점검한다.",1,"화이트박스 테스트는 소스 코드를 직접 들여다보면서 테스트하는 방법입니다.  마치 상자의 내부 구조를 모두 알고 있는 것처럼 테스트를 진행하기 때문에 '화이트박스'라는 이름이 붙었습니다.  따라서 소스 코드의 모든 문장을 적어도 한 번 이상 실행시켜보는 것이 중요하고, 프로그램의 내부 동작을 직접 확인할 수 있습니다.  Base Path Testing이나 Boundary Value Analysis는 화이트박스 테스트의 대표적인 기법으로, 프로그램의 모든 논리적 경로를 점검하거나 경계값을 중심으로 테스트하는 방법입니다.  하지만,  프로그램의 산출물(결과)의 각 기능별로 테스트하는 것은 블랙박스 테스트의 특징입니다. 화이트박스 테스트는 내부 구조를 중심으로 테스트하기 때문에 산출물의 기능에만 초점을 맞추지 않습니다.  결론적으로,  산출물의 기능에 따라 테스트하는 방식은 화이트박스 테스트의 특징이 아니므로,  옳지 않은 설명이 됩니다.",67,19
